id,timestamp,cpu_percent,memory_percent,disk_percent,net_sent_total_mb,net_recv_total_mb,net_sent_delta_mb,net_recv_delta_mb,uptime_seconds
7453,2026-03-07T05:31:31.356903,100.0,92.0,80.1,209.5317840576172,5509.420371055603,3.3830318450927734,44.78978157043457,413908.0006043911
7454,2026-03-07T05:31:35.044748,100.0,91.0,80.1,209.66839504241943,5509.81143951416,0.1366109848022461,0.3910684585571289,413911.00035715103
7455,2026-03-07T05:31:59.135446,70.5,88.8,80.1,210.22524452209473,5511.926054954529,0.556849479675293,2.1146154403686523,413935.0008814335
7456,2026-03-07T05:32:00.681574,67.9,88.8,80.1,210.228985786438,5511.948501586914,0.0037412643432617188,0.022446632385253906,413937.00835490227
7457,2026-03-07T05:32:33.913722,29.0,88.0,80.1,210.31012153625488,5512.053225517273,0.08113574981689453,0.10472393035888672,413970.0023958683
7458,2026-03-07T05:32:59.062071,8.4,88.2,80.1,210.4839334487915,5512.20912361145,0.1738119125366211,0.1558980941772461,413993.0015349388
7459,2026-03-07T05:33:00.649749,22.9,88.0,80.1,210.4839334487915,5512.209823608398,0.0,0.0006999969482421875,413995.00681495667
7460,2026-03-07T05:33:33.777472,7.5,87.5,80.1,210.50776195526123,5512.232322692871,0.023828506469726562,0.02249908447265625,414028.00327014923
7461,2026-03-07T05:33:59.165385,12.4,87.7,80.1,210.57820510864258,5512.33261013031,0.07044315338134766,0.10028743743896484,414053.0002896786
7462,2026-03-07T05:34:00.650183,28.6,87.3,80.1,210.58898162841797,5512.349025726318,0.010776519775390625,0.01641559600830078,414055.00151491165
7463,2026-03-07T05:34:33.536452,0.0,86.7,80.1,210.63513469696045,5512.399758338928,0.04615306854248047,0.05073261260986328,414088.0010983944
7464,2026-03-07T10:23:21.946902,100.0,90.8,80.1,211.26690483093262,5514.289274215698,0.631770133972168,1.8895158767700195,431416.0005707741
7465,2026-03-07T10:23:35.028765,64.4,93.6,80.1,211.71678161621094,5523.1524295806885,0.4498767852783203,8.863155364990234,431429.0004711151
