id,timestamp,cpu_percent,memory_percent,disk_percent,net_sent_total_mb,net_recv_total_mb,net_sent_delta_mb,net_recv_delta_mb,uptime_seconds
6371,2026-03-02T10:32:26.531101,46.0,61.2,77.2,255.42544269561768,3764.926580429077,1.6003732681274414,13.433819770812988,431018.0037174225
6372,2026-03-02T10:34:02.510742,89.3,54.2,77.0,0.5370244979858398,2.171924591064453,0.0,0.0,60.000736236572266
6373,2026-03-02T10:35:00.633033,27.9,50.9,77.0,1.175004005432129,12.219259262084961,0.6379795074462891,10.047334671020508,118.00015878677368
6374,2026-03-02T10:36:00.636129,25.8,64.5,76.9,2.003842353820801,56.144866943359375,0.8288383483886719,43.925607681274414,178.00015211105347
6375,2026-03-02T10:37:00.646546,14.3,65.6,76.9,3.032438278198242,143.58829975128174,1.0285959243774414,87.44343280792236,238.00037550926208
6376,2026-03-02T10:38:00.655192,46.7,65.3,76.9,3.2995433807373047,201.57073211669922,0.2671051025390625,57.98243236541748,298.00007009506226
6377,2026-03-02T10:39:00.646685,6.8,61.6,76.9,3.678839683532715,239.83697700500488,0.37929630279541016,38.266244888305664,358.00001883506775
6378,2026-03-02T10:40:00.650178,20.4,61.2,76.9,3.899724006652832,290.99638748168945,0.2208843231201172,51.15941047668457,418.00067019462585
6379,2026-03-02T10:41:00.649949,15.6,63.0,76.9,4.133675575256348,343.25562381744385,0.23395156860351562,52.259236335754395,478.0007634162903
6380,2026-03-02T10:42:00.646310,24.8,62.8,76.9,4.352761268615723,397.19681549072266,0.219085693359375,53.94119167327881,538.0009055137634
6381,2026-03-02T10:43:00.652330,12.6,64.1,76.9,4.736530303955078,500.9555940628052,0.38376903533935547,103.75877857208252,598.0007383823395
6382,2026-03-02T10:44:00.697153,24.0,63.6,76.9,5.192614555358887,555.9904727935791,0.4560842514038086,55.034878730773926,658.0004856586456
6383,2026-03-02T10:45:00.666996,21.4,64.8,76.9,5.417140960693359,604.4390563964844,0.22452640533447266,48.44858360290527,718.0004575252533
6384,2026-03-02T10:46:00.654253,18.4,64.1,76.9,5.715686798095703,665.2069187164307,0.29854583740234375,60.76786231994629,778.0009582042694
6385,2026-03-02T10:47:00.642733,9.6,64.3,77.0,5.96367073059082,728.7964534759521,0.2479839324951172,63.589534759521484,838.000244140625
