timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv
2025-05-31T23:13:51.792253,10.1,77.4,40.8,829.6986303329468,2588.9465503692627
2025-05-31T23:12:51.760577,0.3,77.9,40.8,828.9583911895752,2585.207007408142
2025-05-31T16:02:08.123188,0.2,76.3,40.8,828.7336168289185,2584.869276046753
2025-05-31T14:53:35.325089,9.9,76.8,40.8,828.6638135910034,2584.7893438339233
2025-05-31T14:52:35.272007,9.1,76.8,40.8,828.6062841415405,2584.741678237915
2025-05-31T14:51:35.217033,15.0,77.6,40.8,828.5082426071167,2584.6568775177
2025-05-31T14:50:35.179352,12.8,76.2,40.8,828.2453718185425,2561.911774635315
2025-05-31T14:49:35.148839,13.8,77.9,40.8,827.9248781204224,2532.8362970352173
2025-05-31T14:48:35.112449,11.8,77.8,40.8,827.6801862716675,2506.238363265991
2025-05-31T14:47:35.079508,13.7,77.8,40.8,827.4014673233032,2480.5737085342407
2025-05-31T14:46:35.049077,12.9,77.6,40.8,827.1273393630981,2450.9684715270996
2025-05-31T14:45:35.013557,13.1,78.2,40.8,826.8169937133789,2424.600761413574
2025-05-31T14:44:34.980385,12.9,77.9,40.7,826.5253257751465,2400.7276697158813
2025-05-31T14:43:34.947315,14.2,78.0,40.7,826.2845516204834,2377.9773750305176
2025-05-31T14:42:34.902539,14.3,77.7,40.7,825.3600168228149,2294.603235244751
2025-05-31T14:41:34.872830,16.3,77.9,40.7,824.8673887252808,2268.852795600891
2025-05-31T14:40:34.839704,13.8,76.8,40.7,824.6450119018555,2264.44243144989
2025-05-31T14:39:34.808879,13.2,77.9,40.7,824.326358795166,2241.8084993362427
2025-05-31T14:38:34.780716,12.6,77.9,40.7,824.1459999084473,2218.955048561096
2025-05-31T14:37:34.743947,12.6,77.9,40.7,823.9396781921387,2199.4870223999023
2025-05-31T14:36:34.720903,14.2,78.2,40.7,823.6665964126587,2176.9802293777466
2025-05-31T14:35:34.686410,12.7,79.6,40.7,823.3053588867188,2148.4137115478516
2025-05-31T14:34:34.655197,12.8,80.2,40.7,822.8994369506836,2124.67843914032
2025-05-31T14:33:34.626356,14.9,80.1,40.7,822.5047826766968,2080.3053789138794
2025-05-31T14:32:34.598633,14.1,80.2,40.7,822.048924446106,2040.8076553344727
2025-05-31T14:31:34.568627,19.1,80.3,40.7,821.5038604736328,1976.704792022705
2025-05-31T14:30:34.534705,12.7,79.3,40.7,820.6722784042358,1920.5015869140625
2025-05-31T14:29:34.501468,15.3,79.7,40.7,820.2021083831787,1887.0143537521362
2025-05-31T14:28:34.465785,13.1,78.6,40.7,819.7221059799194,1845.0793571472168
2025-05-31T14:27:34.437361,12.9,78.4,40.7,819.0546922683716,1799.977954864502
2025-05-31T14:26:34.399336,11.5,78.5,40.7,818.8182516098022,1771.202748298645
2025-05-31T14:25:34.368395,13.4,78.6,40.7,818.5210809707642,1742.3954801559448
2025-05-31T14:24:34.339165,12.2,78.4,40.7,818.1417512893677,1704.888264656067
2025-05-31T14:23:34.310542,13.0,78.3,40.7,817.9120016098022,1675.180401802063
2025-05-31T14:22:34.280839,13.2,78.4,40.7,817.6790733337402,1645.7996196746826
2025-05-31T14:21:34.246816,12.6,78.5,40.7,817.4649848937988,1615.702151298523
2025-05-31T14:20:34.210795,13.2,78.6,40.7,817.2288866043091,1586.2936553955078
2025-05-31T14:19:34.178350,12.8,79.2,40.7,816.8177633285522,1549.7041692733765
2025-05-31T14:18:34.157912,13.2,79.2,40.7,816.5580577850342,1520.881812095642
2025-05-31T14:17:34.134361,14.5,79.0,40.7,816.3021287918091,1487.4175806045532
2025-05-31T14:16:34.102597,13.0,81.3,40.7,816.0583190917969,1453.9411315917969
2025-05-31T14:15:34.077664,12.9,81.3,40.7,815.7604484558105,1418.5069952011108
2025-05-31T14:14:34.050749,12.2,82.2,40.7,815.4198913574219,1389.8950843811035
2025-05-31T14:13:34.023824,13.2,82.3,40.7,815.1003713607788,1359.4979333877563
2025-05-31T14:12:33.989180,12.9,82.7,40.7,814.7282018661499,1331.830111503601
2025-05-31T14:11:33.958691,13.7,82.8,40.7,814.2790479660034,1303.2119941711426
2025-05-31T14:10:33.929102,22.9,84.0,40.7,813.2053699493408,1234.8349514007568
2025-05-31T14:09:33.896396,19.9,80.9,40.7,811.1543703079224,1152.643388748169
2025-05-31T14:08:33.860451,12.6,76.7,40.7,809.9969482421875,1121.826114654541
2025-05-31T14:07:33.825409,18.0,76.8,40.7,809.8725433349609,1121.6808710098267
2025-05-31T14:06:33.797761,19.9,75.9,40.7,809.6358461380005,1121.1979732513428
2025-05-31T14:05:23.284447,12.1,76.1,40.7,809.442795753479,1121.0369710922241
2025-05-31T14:04:23.243853,25.5,77.5,40.7,809.3229465484619,1120.8310813903809
2025-05-31T14:04:14.527736,23.3,84.7,40.7,809.318247795105,1120.8277282714844
2025-05-09T14:38:10.325785,9.0,82.6,48.3,91.47872638702393,1507.705590248108
2025-05-09T14:37:10.281617,6.7,80.7,48.3,91.30407905578613,1507.2656106948853
2025-05-09T14:36:10.244054,5.1,81.0,48.3,91.11397933959961,1501.4473323822021
2025-05-09T14:35:10.212822,6.6,81.0,48.3,91.00229263305664,1501.2930192947388
2025-05-09T14:34:10.175629,5.8,80.9,48.3,90.81506538391113,1497.7956647872925
2025-05-09T14:33:10.141394,5.8,80.9,48.3,90.70502185821533,1497.637927055359
2025-05-09T14:32:10.097447,6.0,81.1,48.3,90.60153579711914,1497.4399604797363
2025-05-09T14:31:10.059110,6.1,80.9,48.3,90.40939903259277,1493.1295680999756
2025-05-09T14:30:10.022938,6.8,81.4,48.3,90.30952548980713,1492.9848308563232
2025-05-09T14:29:09.990678,8.5,80.9,48.3,90.19211196899414,1492.807300567627
2025-05-09T14:28:09.954729,9.6,81.7,48.3,90.00841426849365,1487.942621231079
2025-05-09T14:27:09.910275,6.0,80.6,48.3,89.80465602874756,1487.5883674621582
2025-05-09T14:26:09.863944,6.0,80.7,48.3,89.6770486831665,1487.4348583221436
2025-05-09T14:25:09.818626,5.7,80.6,48.3,89.43371677398682,1482.4485511779785
2025-05-09T14:24:09.773628,6.2,80.5,48.3,89.26973342895508,1482.2430810928345
2025-05-09T14:23:09.743700,6.2,80.5,48.3,89.09555721282959,1478.4036664962769
2025-05-09T14:22:09.705360,6.7,80.2,48.3,88.92673206329346,1477.762692451477
2025-05-09T14:21:09.663193,6.4,80.9,48.3,88.77228736877441,1477.553593635559
2025-05-09T14:20:09.628651,6.0,81.0,48.3,88.5866346359253,1471.8147420883179
2025-05-09T14:19:09.596764,6.6,80.7,48.3,88.4640531539917,1471.6499881744385
2025-05-09T14:18:09.555755,7.1,80.8,48.3,88.33950328826904,1471.4811153411865
2025-05-09T14:17:09.512674,6.6,80.7,48.3,88.17265033721924,1467.8844747543335
2025-05-09T14:16:09.470673,5.8,80.8,48.3,88.06445121765137,1467.7386465072632
2025-05-09T14:15:09.421966,6.9,80.8,48.3,87.96305751800537,1467.5953788757324
2025-05-09T14:14:09.380074,5.5,80.5,48.3,87.7752103805542,1463.5692863464355
2025-05-09T14:13:09.341922,5.6,80.6,48.3,87.6502046585083,1463.387062072754
2025-05-09T14:12:09.306349,6.6,80.8,48.2,87.54235744476318,1463.1765432357788
2025-05-09T14:11:09.262065,5.8,80.5,48.3,87.35450839996338,1458.2216005325317
2025-05-09T14:10:09.219984,6.0,80.8,48.3,87.24990844726562,1458.0547409057617
2025-05-09T14:09:09.188756,5.7,80.5,48.3,87.14078044891357,1457.8984470367432
2025-05-09T14:08:09.151100,8.5,80.5,48.2,86.97083568572998,1457.7180395126343
2025-05-09T14:07:09.108508,7.0,80.1,48.3,86.74964618682861,1451.7126731872559
2025-05-09T14:06:09.072918,28.5,81.8,48.2,86.61555767059326,1451.5338258743286
2025-05-09T14:05:09.033412,23.2,81.2,48.7,86.44976425170898,1447.3860712051392
2025-05-09T14:04:09.008067,20.5,80.9,48.7,86.3494119644165,1447.2377834320068
2025-05-09T14:03:08.981032,19.7,81.0,48.7,86.22385501861572,1447.052146911621
2025-05-09T14:02:08.956566,21.1,80.8,48.7,86.0598726272583,1441.4609022140503
