timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv
2025-12-08T09:41:20.171238,90.5,81.6,71.5,1.3822965621948242,2.141712188720703
2025-12-08T09:41:29.434507,39.1,82.5,71.5,1.5978374481201172,7.519951820373535
2025-12-08T09:42:50.958666,13.9,81.4,71.5,2.166057586669922,9.848589897155762
2025-12-08T09:46:29.429003,7.0,77.8,71.5,3.2482948303222656,11.57548999786377
2025-12-08T09:47:50.831921,8.6,77.1,71.5,3.43057918548584,12.52692985534668
2025-12-08T09:51:29.482903,15.6,80.3,71.5,4.714609146118164,15.653779029846191
2025-12-08T09:52:50.927468,11.3,79.9,71.5,5.362268447875977,16.02065372467041
2025-12-08T09:56:32.890073,55.5,79.9,71.5,9.97605037689209,40.929545402526855
2025-12-08T09:57:50.943721,15.9,80.7,71.5,10.145956039428711,41.341453552246094
2025-12-08T10:01:29.660276,50.6,82.8,71.5,12.777486801147461,51.76432800292969
2025-12-08T10:02:50.966795,20.1,82.6,71.5,13.080340385437012,53.513997077941895
2025-12-08T10:06:29.453472,28.0,83.1,71.5,14.77477741241455,59.343058586120605
2025-12-08T10:07:50.934222,10.5,81.9,71.5,14.893072128295898,59.47918891906738
2025-12-08T10:11:29.452254,35.8,87.7,71.5,24.080244064331055,77.7312650680542
2025-12-08T10:12:51.039785,30.4,82.0,71.5,25.2163028717041,78.63082027435303
2025-12-08T10:16:29.475374,23.2,81.7,71.5,27.11555004119873,83.81983757019043
2025-12-08T10:17:51.067947,10.1,84.6,71.5,29.014883041381836,99.29824733734131
2025-12-08T10:21:29.438855,17.0,83.8,71.5,31.224753379821777,101.13920307159424
2025-12-08T10:22:50.911805,2.3,83.6,71.5,31.53439712524414,101.31608581542969
2025-12-08T10:26:29.501985,24.1,82.9,71.5,33.346675872802734,106.49185848236084
2025-12-08T10:27:50.944117,11.7,82.2,71.5,33.640947341918945,106.6780891418457
2025-12-08T10:31:29.423083,16.0,82.0,71.5,35.22636795043945,116.80831909179688
2025-12-08T10:32:50.932143,8.5,81.3,71.5,36.082237243652344,117.78565788269043
2025-12-08T10:36:29.571093,7.8,83.1,71.5,38.59103298187256,124.35943031311035
2025-12-08T10:37:50.923352,7.8,81.9,71.5,39.07520580291748,124.75012874603271
2025-12-08T10:41:29.453405,19.1,82.9,71.5,40.28199100494385,130.86659908294678
2025-12-08T10:42:50.932273,17.9,81.5,71.5,40.79982948303223,131.20486736297607
2025-12-08T10:46:29.434128,7.3,81.1,71.5,42.71207046508789,137.27539730072021
2025-12-08T10:47:50.855234,28.2,78.7,71.5,43.98952293395996,140.43908500671387
2025-12-08T10:51:29.629189,53.9,86.1,71.5,46.44471740722656,167.27944564819336
